symbol,name,price,exchange,exchangeShortName,type
"SPGM","SPDR Portfolio MSCI Global Stock Market ETF","60.1","New York Stock Exchange Arca","AMEX","etf",
"BSMM","Invesco BulletShares (R) 2022 Municipal Bond ETF","25.23","NASDAQ Global Market","NASDAQ","etf",
"1ARG.L","LS ARK Genomic Revolution Tracker ETC","2.0752","London Stock Exchange","LSE","etf",
"IVVW","iShares S&P 500 BuyWrite ETF","49.25","Cboe US","ETF","etf",
"IDU","iShares U.S. Utilities ETF","89.17","New York Stock Exchange Arca","AMEX","etf",
"SURI","Simplify Propel Opportunities ETF","22.7903","New York Stock Exchange Arca","AMEX","etf",
"FLRM.TO","Franklin Risk Managed Canadian Equity Active ETF","22.59","Toronto Stock Exchange","TSX","etf",
"FICS","First Trust International Developed Cap Strength ETF","35.27","NASDAQ Global Market","NASDAQ","etf",
"WEAT.MI","WisdomTree Wheat","23.725","Milan","MIL","etf",
"MDBU.L","UBS(Lux)Fund Solutions – Sustainable Development Bank Bonds UCITS ETF(USD)A-dis","831.561","London Stock Exchange","LSE","etf",
"JULH","Innovator ETFs Trust - Innovator Premium Income 20 Barrier ETF - July","25.18","New York Stock Exchange","NYSE","etf",
"DFJ","WisdomTree Japan SmallCap Dividend Fund","74.5791","New York Stock Exchange Arca","AMEX","etf",
"EMCA","Emerge EMPWR Sustainable Dividend Equity ETF","25.5986","BATS","ETF","etf",
"MJIN","ETFMG 2X Daily Inverse Alternative Harvest ETF","15.3349","New York Stock Exchange Arca","AMEX","etf",
